account_id,account_name,account_type,bed_count,annual_test_volume,city,state_region,country,ownership_type,created_at,updated_at
1,기관_001,검사실,32,224393,Gwangju,Busan,Korea,민영,2022-05-23,2025-09-08
2,기관_002,검사실,366,224161,Busan,Daejeon,Korea,공공,2022-02-02,2025-09-08
3,기관_003,검사실,67,87314,Daejeon,Daejeon,Korea,민영,2023-07-29,2025-09-08
4,기관_004,의원,386,200363,Seongnam,Busan,Korea,공공,2023-08-27,2025-09-08
5,기관_005,병원,434,31703,Incheon,Gyeonggi,Korea,공공,2022-10-12,2025-09-08
6,기관_006,의원,130,230145,Ulsan,Seoul,Korea,민영,2023-01-25,2025-09-08
7,기관_007,검사실,203,120165,Gwangju,Seoul,Korea,공공,2023-07-04,2025-09-08
8,기관_008,검사실,492,129230,Busan,Daejeon,Korea,공공,2024-04-29,2025-09-08
9,기관_009,병원,315,80407,Busan,Seoul,Korea,민영,2024-03-02,2025-09-08
10,기관_010,병원,60,91024,Busan,Gyeonggi,Korea,공공,2023-04-10,2025-09-08
11,기관_011,병원,103,127040,Ulsan,Busan,Korea,공공,2023-12-20,2025-09-08
12,기관_012,검사실,331,196455,Incheon,Daejeon,Korea,민영,2022-06-17,2025-09-08
13,기관_013,검진센터,214,100765,Daejeon,Daegu,Korea,민영,2022-08-23,2025-09-08
14,기관_014,검사실,432,112694,Seongnam,Daegu,Korea,민영,2022-08-05,2025-09-08
15,기관_015,병원,128,201819,Suwon,Gyeonggi,Korea,공공,2022-05-27,2025-09-08
16,기관_016,병원,91,94651,Gwangju,Daejeon,Korea,공공,2024-07-08,2025-09-08
17,기관_017,검진센터,205,87493,Incheon,Daejeon,Korea,공공,2022-04-04,2025-09-08
18,기관_018,검사실,460,58743,Incheon,Busan,Korea,공공,2023-09-03,2025-09-08
19,기관_019,검사실,217,130039,Suwon,Daejeon,Korea,공공,2024-09-21,2025-09-08
20,기관_020,검사실,368,218932,Busan,Daejeon,Korea,공공,2024-02-27,2025-09-08
21,기관_021,병원,77,106939,Seongnam,Busan,Korea,공공,2022-01-04,2025-09-08
22,기관_022,병원,276,229743,Incheon,Daejeon,Korea,민영,2024-06-10,2025-09-08
23,기관_023,병원,450,197496,Daejeon,Busan,Korea,공공,2024-02-20,2025-09-08
24,기관_024,의원,296,234112,Seoul,Daejeon,Korea,공공,2023-05-16,2025-09-08
25,기관_025,검사실,77,125153,Gwangju,Busan,Korea,민영,2022-09-04,2025-09-08
26,기관_026,검사실,63,221865,Suwon,Seoul,Korea,민영,2022-05-12,2025-09-08
27,기관_027,검진센터,301,73287,Gwangju,Daejeon,Korea,공공,2024-09-14,2025-09-08
28,기관_028,의원,495,171373,Daejeon,Daegu,Korea,공공,2023-11-19,2025-09-08
29,기관_029,병원,244,165679,Suwon,Seoul,Korea,민영,2022-08-19,2025-09-08
30,기관_030,검사실,193,35514,Daejeon,Daejeon,Korea,민영,2022-01-08,2025-09-08
31,기관_031,검사실,382,195439,Seoul,Busan,Korea,민영,2024-07-16,2025-09-08
32,기관_032,검사실,460,116619,Busan,Daejeon,Korea,민영,2022-10-13,2025-09-08
33,기관_033,검진센터,129,171356,Incheon,Daejeon,Korea,공공,2022-09-06,2025-09-08
34,기관_034,검진센터,433,136708,Daejeon,Seoul,Korea,민영,2023-11-06,2025-09-08
35,기관_035,검진센터,201,141038,Seongnam,Gyeonggi,Korea,민영,2023-11-21,2025-09-08
36,기관_036,검사실,51,135544,Ulsan,Seoul,Korea,민영,2022-07-16,2025-09-08
37,기관_037,의원,294,147601,Incheon,Gyeonggi,Korea,민영,2022-10-13,2025-09-08
38,기관_038,검진센터,147,49761,Suwon,Daejeon,Korea,민영,2022-02-21,2025-09-08
39,기관_039,검사실,67,227542,Daejeon,Busan,Korea,공공,2023-05-13,2025-09-08
40,기관_040,검진센터,129,135130,Seoul,Busan,Korea,공공,2022-01-03,2025-09-08
41,기관_041,검진센터,155,235539,Suwon,Daegu,Korea,공공,2023-12-15,2025-09-08
42,기관_042,검진센터,99,79780,Gwangju,Busan,Korea,민영,2023-08-17,2025-09-08
43,기관_043,검사실,402,112209,Seoul,Seoul,Korea,공공,2023-05-30,2025-09-08
44,기관_044,의원,49,163124,Busan,Busan,Korea,민영,2023-09-02,2025-09-08
45,기관_045,검사실,365,91657,Seongnam,Seoul,Korea,민영,2023-08-16,2025-09-08
46,기관_046,검사실,337,51491,Seongnam,Daejeon,Korea,공공,2024-08-15,2025-09-08
47,기관_047,병원,124,205564,Ulsan,Busan,Korea,공공,2023-02-10,2025-09-08
48,기관_048,의원,363,199214,Gwangju,Gyeonggi,Korea,공공,2024-08-09,2025-09-08
