interaction_id,account_id,contact_id,channel,outcome,occurred_at
1,28,0,demo,positive,2025-09-05 00:00:00
2,3,0,demo,neutral,2025-09-04 00:00:00
3,24,0,webinar,neutral,2025-08-31 00:00:00
4,3,0,visit,positive,2025-09-04 00:00:00
5,14,0,visit,positive,2025-09-01 00:00:00
6,16,0,webinar,negative,2025-09-01 00:00:00
7,7,0,call,negative,2025-09-04 00:00:00
8,36,0,demo,positive,2025-08-31 00:00:00
9,27,0,visit,neutral,2025-09-02 00:00:00
10,48,0,webinar,neutral,2025-09-05 00:00:00
11,21,0,visit,positive,2025-09-04 00:00:00
12,45,0,webinar,positive,2025-09-05 00:00:00
13,36,0,demo,neutral,2025-09-06 00:00:00
14,13,0,visit,negative,2025-09-04 00:00:00
15,43,0,demo,positive,2025-09-04 00:00:00
16,44,0,email,neutral,2025-09-02 00:00:00
17,12,0,visit,neutral,2025-09-03 00:00:00
18,37,0,demo,neutral,2025-09-05 00:00:00
19,26,0,demo,positive,2025-09-03 00:00:00
20,1,0,webinar,positive,2025-09-05 00:00:00
21,19,0,visit,positive,2025-09-06 00:00:00
22,28,0,visit,negative,2025-09-01 00:00:00
23,38,0,webinar,neutral,2025-09-03 00:00:00
24,42,0,email,positive,2025-09-05 00:00:00
25,40,0,call,positive,2025-09-02 00:00:00
26,47,0,visit,neutral,2025-09-04 00:00:00
27,28,0,demo,negative,2025-09-02 00:00:00
28,36,0,call,positive,2025-09-05 00:00:00
29,11,0,demo,positive,2025-09-03 00:00:00
30,31,0,demo,positive,2025-09-05 00:00:00
31,17,0,visit,neutral,2025-09-02 00:00:00
32,16,0,webinar,positive,2025-09-02 00:00:00
33,41,0,call,positive,2025-09-06 00:00:00
34,34,0,webinar,neutral,2025-09-05 00:00:00
35,41,0,call,positive,2025-09-07 00:00:00
36,18,0,visit,neutral,2025-09-05 00:00:00
37,5,0,webinar,neutral,2025-09-03 00:00:00
38,19,0,demo,neutral,2025-09-07 00:00:00
39,18,0,visit,neutral,2025-09-06 00:00:00
40,18,0,webinar,positive,2025-09-03 00:00:00
41,27,0,visit,positive,2025-09-07 00:00:00
42,6,0,webinar,neutral,2025-09-06 00:00:00
43,2,0,visit,neutral,2025-09-04 00:00:00
44,35,0,webinar,neutral,2025-09-09 00:00:00
45,23,0,webinar,positive,2025-09-08 00:00:00
46,42,0,email,neutral,2025-09-09 00:00:00
47,42,0,email,neutral,2025-09-09 00:00:00
48,2,0,visit,positive,2025-09-08 00:00:00
49,13,0,demo,positive,2025-09-03 00:00:00
50,2,0,webinar,negative,2025-09-05 00:00:00
51,10,0,demo,negative,2025-09-08 00:00:00
52,9,0,visit,neutral,2025-09-06 00:00:00
53,43,0,visit,neutral,2025-09-09 00:00:00
54,36,0,email,positive,2025-09-10 00:00:00
55,34,0,demo,positive,2025-09-09 00:00:00
56,6,0,visit,positive,2025-09-09 00:00:00
57,47,0,demo,neutral,2025-09-07 00:00:00
58,32,0,demo,neutral,2025-09-06 00:00:00
59,16,0,webinar,positive,2025-09-05 00:00:00
60,31,0,email,positive,2025-09-05 00:00:00
61,46,0,webinar,neutral,2025-09-07 00:00:00
62,29,0,email,positive,2025-09-04 00:00:00
63,2,0,visit,positive,2025-09-10 00:00:00
64,19,0,webinar,neutral,2025-09-09 00:00:00
65,26,0,visit,neutral,2025-09-05 00:00:00
