bid_id,account_id,bid_due_date,bid_status,est_amount,created_at
1,2,2025-09-25,planned,2394.43,2025-08-14
2,22,2025-11-03,won,2945.12,2025-08-08
3,6,2025-10-03,won,6327.31,2025-08-22
4,43,2025-10-25,planned,12102.4,2025-08-19
5,22,2025-09-20,planned,20466.59,2025-08-12
6,14,2025-09-20,lost,31738.44,2025-08-26
7,27,2025-10-07,won,16299.2,2025-08-22
8,30,2025-10-12,lost,13619.66,2025-09-07
9,7,2025-10-24,won,8379.84,2025-09-09
10,20,2025-10-23,won,7260.34,2025-08-19
11,36,2025-10-21,planned,17864.34,2025-08-30
12,28,2025-11-04,lost,18740.0,2025-08-24
13,48,2025-09-25,planned,1775.96,2025-08-18
14,14,2025-10-29,submitted,22571.26,2025-09-05
15,17,2025-10-31,lost,14037.38,2025-09-09
