product_id,product_name,product_type,brand,requires_install,list_price
1,AlphaDx Analyzer A,Analyzer,AlphaDx,1,80068
2,MedLabs Analyzer B,Analyzer,MedLabs,1,29602
3,MedLabs Analyzer C,Analyzer,MedLabs,1,86307
4,BioCore Analyzer D,Analyzer,BioCore,1,65745
5,AlphaDx Analyzer E,Analyzer,AlphaDx,1,68434
6,BioCore Analyzer F,Analyzer,BioCore,1,77433
7,MedLabs Reagent G,Reagent,MedLabs,0,826
8,MedLabs Analyzer H,Analyzer,MedLabs,1,92692
9,BioCore Analyzer I,Analyzer,BioCore,1,37601
10,BioCore Analyzer J,Analyzer,BioCore,1,34029
11,MedLabs Analyzer K,Analyzer,MedLabs,1,55697
12,BioCore Analyzer L,Analyzer,BioCore,1,64942
13,AlphaDx Reagent M,Reagent,AlphaDx,0,717
14,BioCore Reagent N,Reagent,BioCore,0,252
15,AlphaDx Reagent O,Reagent,AlphaDx,0,483
