interaction_id,account_id,contact_id,channel,outcome,occurred_at
1,1,0,visit,neutral,2025-01-09
2,1,0,webinar,negative,2024-11-21
3,1,0,demo,positive,2024-11-21
4,1,0,email,neutral,2024-12-01
5,1,0,visit,neutral,2024-09-21
6,1,0,webinar,neutral,2025-05-25
7,1,0,email,positive,2025-04-27
8,1,0,email,positive,2025-08-14
9,1,0,call,neutral,2025-05-20
10,1,0,email,positive,2024-09-21
11,1,0,visit,neutral,2024-11-28
12,1,0,email,neutral,2025-02-27
13,1,0,demo,neutral,2024-09-20
14,1,0,webinar,positive,2025-08-01
15,1,0,demo,positive,2025-01-13
16,2,0,demo,positive,2024-10-07
17,2,0,webinar,neutral,2025-02-10
18,2,0,demo,positive,2025-08-25
19,2,0,email,negative,2025-02-16
20,3,0,visit,neutral,2025-06-13
21,3,0,call,neutral,2025-03-28
22,3,0,email,negative,2024-10-03
23,3,0,email,neutral,2024-09-14
24,3,0,email,positive,2025-08-18
25,3,0,webinar,neutral,2025-04-03
26,3,0,visit,negative,2025-06-22
27,3,0,demo,negative,2025-08-12
28,3,0,call,neutral,2024-11-03
29,3,0,demo,positive,2024-09-23
30,3,0,call,neutral,2025-07-28
31,3,0,visit,neutral,2025-03-09
32,3,0,demo,neutral,2025-01-19
33,3,0,visit,positive,2024-10-12
34,3,0,visit,positive,2025-07-24
35,3,0,webinar,neutral,2024-10-23
36,3,0,email,positive,2025-08-14
37,3,0,demo,positive,2024-12-17
38,3,0,visit,neutral,2024-10-01
39,4,0,visit,neutral,2024-12-31
40,4,0,call,neutral,2025-07-11
41,4,0,call,neutral,2025-04-24
42,4,0,demo,positive,2025-08-25
43,4,0,visit,positive,2025-03-02
44,4,0,visit,positive,2025-07-20
45,4,0,visit,neutral,2025-05-06
46,4,0,email,negative,2024-09-29
47,4,0,email,neutral,2024-11-18
48,4,0,demo,neutral,2025-08-10
49,4,0,email,neutral,2024-10-26
50,5,0,call,neutral,2025-04-29
51,5,0,demo,negative,2025-04-27
52,5,0,call,neutral,2025-01-11
53,5,0,email,negative,2025-02-22
54,5,0,call,negative,2025-04-20
55,5,0,demo,positive,2024-12-05
56,5,0,call,neutral,2025-05-29
57,5,0,call,neutral,2024-10-02
58,5,0,demo,neutral,2025-08-14
59,5,0,email,neutral,2024-12-25
60,5,0,call,negative,2024-09-13
61,6,0,webinar,positive,2025-05-18
62,6,0,call,positive,2025-07-02
63,6,0,webinar,neutral,2024-09-22
64,6,0,visit,negative,2024-10-28
65,6,0,webinar,negative,2024-11-10
66,6,0,webinar,neutral,2024-11-06
67,6,0,email,neutral,2025-07-24
68,6,0,demo,negative,2025-02-22
69,7,0,webinar,neutral,2025-04-02
70,7,0,visit,positive,2025-03-26
71,7,0,email,positive,2025-05-30
72,7,0,call,positive,2025-07-29
73,7,0,webinar,neutral,2025-02-14
74,7,0,demo,neutral,2025-06-30
75,7,0,call,positive,2025-08-08
76,7,0,email,negative,2024-10-30
77,7,0,email,neutral,2024-11-15
78,7,0,demo,negative,2025-01-10
79,7,0,email,positive,2025-08-25
80,7,0,call,positive,2025-05-02
81,7,0,call,neutral,2025-07-16
82,7,0,demo,neutral,2025-04-29
83,7,0,webinar,positive,2025-01-11
84,7,0,demo,neutral,2025-03-08
85,7,0,demo,negative,2025-01-14
86,7,0,email,positive,2025-07-24
87,7,0,email,neutral,2025-03-21
